"FIPS_N","ag","black","feemp","foreign","hisp","hsch","manu","povty","retail"
26027,2.619999886,6.119999886,56.24000168,1.919999957,2.410000086,37.63999939,33.84000015,8.220000267,10.56000042
26071,3.880000114,1.100000024,45.04000092,1.149999976,0.639999986,45.63000107,9.869999886,10.42000008,12.84000015
26033,1.450000048,5.519999981,54.00999832,3.00999999,1.549999952,35.95000076,5.130000114,12.10000038,11.72999954
26023,3.619999886,2.630000114,54.40999985,2.579999924,2.980000019,40.81000137,31.03000069,8.029999733,13.42000008
26103,0.620000005,1.320000052,56.20000076,1.450000048,0.689999998,35.33000183,6.230000019,11.40999985,13.59000015
26155,2.180000067,0.189999998,55.43999863,1.179999948,1.809999943,38.43999863,25.86000061,7,11.78999996
26005,2.849999905,1.309999943,59.72999954,2.920000076,5.71999979,39.13000107,32.63999939,6.829999924,11.02000046
26131,6.150000095,0.029999999,47.31000137,1.419999957,0.74000001,43.5,15.05000019,9.430000305,11.32999992
26099,0.170000002,2.710000038,55.38000107,8.760000229,1.580000043,32.75999832,26.11000061,4.880000114,12.56999969
26159,3.710000038,5.25,56.65999985,3.539999962,7.389999866,35.91999817,26.59000015,9.989999771,11.22000027
26147,0.800000012,2.099999905,54.91999817,2.710000038,2.190000057,37.20000076,27.98999977,6.860000134,12.18000031
26085,3.420000076,11.17000008,42.13999939,1,1.690000057,39.75,23.25,18.15999985,12.97000027
26113,7.269999981,0.200000003,50.90000153,0.99000001,1.169999957,42.63999939,22.36000061,9.399999619,12.80000019
26003,4.079999924,6.110000134,48.54000092,1,1,42.34000015,19.36000061,9.819999695,9.609999657
26073,1.850000024,1.929999948,58.50999832,2.319999933,2.24000001,33.88000107,10.18999958,24.82999992,13.11999989
26009,2.480000019,0.189999998,49.93999863,1.50999999,1.230000019,37.09999847,21.65999985,8.5,11.14999962
26047,1.090000033,0.469999999,56.52999878,1.720000029,0.910000026,31.31999969,9.710000038,7.119999886,15.34000015
26095,3.789999962,7.519999981,46.15999985,1.070000052,1.75,37.43000031,7.960000038,13.89000034,11.44999981
26143,0.709999979,0.319999993,40.15999985,1.679999948,0.800000012,39.24000168,10.46000004,12.30000019,18.29000092
26075,0.959999979,7.920000076,56.29999924,1.659999967,2.200000048,32.86999893,23.54999924,7.949999809,12.09000015
26083,2.400000095,3.519999981,45.86999893,1.039999962,0.779999971,37.20999908,9.5,12.05000019,8.840000153
26061,1.220000029,0.939999998,52.04000092,2.710000038,0.699999988,35.97999954,7.179999828,17.94000053,13.42000008
26109,3.599999905,0.100000001,54.22000122,0.870000005,0.75,46.36999893,32.54999924,9.699999809,8.840000153
26041,2.900000095,0.090000004,51.27000046,0.980000019,0.49000001,35.81999969,18.88999939,8.890000343,13.22000027
26149,2.480000019,2.579999924,55.95000076,3.410000086,3.99000001,38.31999969,42.38000107,9.909999847,10.18999958
26031,1.570000052,0.25,45.68999863,1.25,0.75999999,40.58000183,12.43999958,11.31999969,15.35000038
26139,1.600000024,1.049999952,62.27999878,4.900000095,7,31.09000015,29.47999954,5.78000021,11.86999989
26091,1.610000014,2.119999886,57.02000046,1.649999976,6.960000038,38.45999908,28.65999985,5.849999905,12.14000034
26043,1.5,0.119999997,51.97999954,1.070000052,0.680000007,44.41999817,18.94000053,8.06000042,13.68000031
26007,2.579999924,0.25,51.72999954,1.149999976,0.579999983,35.65999985,17.09000015,10.35999966,13.89999962
26049,0.25999999,20.37000084,53.63999939,2.140000105,2.329999924,33.36999893,24.06999969,11.25,12.82999992
26129,3.609999895,0.129999995,45.22999954,1.25999999,1.159999967,39.88000107,13.56000042,13.26000023,14.53999996
26115,1.049999952,1.899999976,55.95000076,1.889999986,2.130000114,37.29999924,25.76000023,6.139999866,11.97999954
26165,1.919999957,0.189999998,53.84000015,1.830000043,1.00999999,38.66999817,26.03000069,9.789999962,14.03999996
26037,2.450000048,0.629999995,61.38999939,1.210000038,2.609999895,32.84999847,16.89999962,4.019999981,10.46000004
26015,2.349999905,0.239999995,57.08000183,0.819999993,1.460000038,39.25999832,29.55999947,4.940000057,10.27000046
26119,4.059999943,0.239999995,36.16999817,1.340000033,0.649999976,41.75,14.73999977,11.68999958,12.34000015
26107,2.359999895,3.599999905,50.93000031,1.929999948,1.279999971,36.54999924,16.93000031,17.55999947,12.68999958
26013,3.170000076,4.989999771,50.99000168,0.75,0.930000007,38.97000122,16.29999924,10.15999985,12.10000038
26055,0.939999998,0.400000006,60.84999847,2.150000095,1.49000001,27.87999916,12.06000042,5.869999886,14.92000008
26017,1.029999971,1.25999999,53.59999847,1.389999986,3.910000086,36.95999908,18.70000076,8.680000305,14.63000011
26151,7.699999809,0.280000001,51.00999832,1.590000033,2.779999971,43.88999939,27.04999924,9.270000458,12.23999977
26127,6.590000153,0.319999993,50.75999832,4.349999905,11.60999966,39.41999817,27.29999924,13.38000011,9.850000381
26067,3.160000086,4.559999943,58.91999817,1.159999967,2.779999971,40.38000107,26.88999939,7.769999981,11.60000038
26093,0.579999983,0.460000008,61.68000031,3,1.24000001,28.30999947,23.38999939,2.99000001,12.22000027
26163,0.109999999,42.15999985,50.56000137,6.679999828,3.75,30.63999939,21.84000015,14.17000008,10.68000031
26021,1.889999986,15.93000031,55.22000122,4.860000134,3.00999999,31.87000084,24.59000015,11.14999962,10.77999973
26089,2.940000057,0.25,54.91999817,2.220000029,3.289999962,26.45999908,9.859999657,5.079999924,11.27000046
26087,1.360000014,0.819999993,54.18999863,2.160000086,3.109999895,38.52999878,29.84000015,4.829999924,10.93999958
26097,2.75999999,0.200000003,44.47000122,1.169999957,0.899999976,41.29000092,4.159999847,9.670000076,11.35999966
26065,0.699999988,10.85999966,60.84000015,6.25,5.800000191,23.39999962,10.35999966,15.64999962,10.93999958
26039,1.409999967,1.5,51.04999924,1.279999971,0.99000001,37.63999939,13,11.44999981,14.43000031
26077,1.029999971,9.729999542,59.36999893,4.019999981,2.640000105,25.94000053,20.40999985,12.72999954,11.73999977
26059,3.49000001,0.430000007,55.16999817,1.149999976,1.200000048,42.97999954,35.02999878,7.349999905,9.159999847
26121,0.660000026,14.19999981,56.11000061,1.860000014,3.529999971,35.45000076,30.47999954,9.789999962,13.28999996
26125,0.129999995,10.10999966,57.97999954,9.979999542,2.430000067,22.10000038,21.80999947,4.869999886,11.85000038
26057,4.139999866,3.720000029,52.38999939,1.230000019,4.429999828,42.11999893,21.95000076,9.609999657,11.02999973
26133,3.380000114,0.349999994,51.58000183,1.190000057,0.99000001,43.79999924,31.71999931,11.36999989,11.64999962
26145,0.860000014,18.62000084,53.13000107,2.039999962,6.699999809,36.15000153,20.40999985,11.75,14.32999992
26135,3.609999895,0.079999998,38.66999817,1.50999999,0.939999998,40.49000168,21.21999931,13.93999958,13.81000042
